accession	gene	protein_name	length	organism	organism_taxon_id	disease_uniprot_name	disease_uniprot_id	disease_acronym	mim_id	uniprot_url
A0A089QRB9	msl3	Mycolipanoate synthase	2085	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/A0A089QRB9
I6Y4D2		N-acetylmuramoyl-L-alanine amidase Rv3717	241	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/I6Y4D2
I6Y9Q3	prpC	2-methylcitrate synthase	393	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/I6Y9Q3
I6YBQ3	lrpA	HTH-type transcriptional regulator LrpA	150	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/I6YBQ3
O05858	fasR	HTH-type transcriptional activator FasR	228	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O05858
O06350	lipF	Carboxylesterase/phospholipase LipF	373	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O06350
O07732	lipJ	Bifunctional lipase/adenylate cyclase LipJ	462	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O07732
O50406		Type B diterpene cyclase	501	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O50406
O53289	serB2	Phosphoserine phosphatase SerB2	409	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O53289
O53547	chsB1	Hydroxyacyl-CoA dehydrogenase ChsB1	317	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O53547
O53551	fadD17	Medium/long-chain-fatty-acid--CoA ligase FadD17	502	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O53551
O53561	echA19	Enoyl-CoA hydratase EchA19	266	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O53561
O53580	fadD32	Long-chain-fatty-acid--AMP ligase FadD32	637	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O53580
O53611	icd-2	Isocitrate dehydrogenase [NADP] 2	745	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O53611
O53873	XPB	DNA 3'-5' helicase XPB	549	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O53873
O69652	cds1	L-cysteine desulfhydrase Cds1	368	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O69652
O69729	tcrY	Probable sensor histidine kinase TcrY	475	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O69729
P71590	fhaA	FHA domain-containing protein FhaA	527	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P71590
P71629	cas10	CRISPR system single-strand-specific deoxyribonuclease Cas10/Csm1 (subtype III-A)	809	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P71629
P71778	lipL	Esterase/beta-lactamase LipL	429	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P71778
P95141	fadD29	4-hydroxyphenylalkanoate adenylyltransferase	619	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P95141
P96264	lpqL	Probable lipoprotein aminopeptidase LpqL	500	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P96264
P96809	fgd2	F420-dependent hydroxymycolic acid dehydrogenase	360	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P96809
P96890	accA3	Biotin-dependent acyl-coenzyme A carboxylase alpha3 subunit	600	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P96890
P9WFF1	ureC	Urease subunit alpha	577	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WFF1
P9WFR5		Decaprenyl-phosphate phosphoribosyltransferase	302	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WFR5
P9WFU7	lysX	Lysylphosphatidylglycerol biosynthesis bifunctional protein LysX	1172	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WFU7
P9WFX1	mbtI	Salicylate synthase	450	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WFX1
P9WG41	ilvB1	Acetolactate synthase large subunit IlvB1	618	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WG41
P9WG47	gyrA	DNA gyrase subunit A	838	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WG47
P9WG57	thyX	Flavin-dependent thymidylate synthase	250	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WG57
P9WG59	thrC	Threonine synthase	360	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WG59
P9WGG3	cobB	NAD-dependent protein deacylase	237	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGG3
P9WGG7	sigE	ECF RNA polymerase sigma factor SigE	257	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGG7
P9WGH9	sigH	ECF RNA polymerase sigma factor SigH	216	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGH9
P9WGI3	sigF	RNA polymerase sigma factor SigF	261	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGI3
P9WGI7	glyA2	Serine hydroxymethyltransferase 2	425	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGI7
P9WGL3	kdpD	Sensor protein KdpD	860	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGL3
P9WGM1	prrA	Transcriptional regulatory protein PrrA	233	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGM1
P9WGR1	inhA	Enoyl-[acyl-carrier-protein] reductase [NADH]	269	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGR1
P9WGS9	dprE2	Decaprenylphosphoryl-2-keto-beta-D-erythro-pentose reductase	254	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGS9
P9WGU9	lpqY	Trehalose-binding lipoprotein LpqY	468	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGU9
P9WH43	rpsA	Small ribosomal subunit protein bS1	481	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WH43
