accession	gene	protein_name	length	organism	organism_taxon_id	disease_uniprot_name	disease_uniprot_id	disease_acronym	mim_id	uniprot_url
A0A1B0GTW7	CIROP	Ciliated left-right organizer metallopeptidase	788	Homo sapiens	9606	Heterotaxy, visceral, 12, autosomal	DI-06243	HTX12		https://rest.uniprot.org/uniprotkb/A0A1B0GTW7
A0PK11	CLRN2	Clarin-2	232	Homo sapiens	9606	Deafness, autosomal recessive, 117	DI-06028	DFNB117		https://rest.uniprot.org/uniprotkb/A0PK11
A1X283	SH3PXD2B	SH3 and PX domain-containing protein 2B	911	Homo sapiens	9606	Frank-Ter Haar syndrome	DI-02812	FTHS		https://rest.uniprot.org/uniprotkb/A1X283
A2RU14	TMEM218	Transmembrane protein 218	115	Homo sapiens	9606	Joubert syndrome 39	DI-06239	JBTS39		https://rest.uniprot.org/uniprotkb/A2RU14
A5D8V7	ODAD3	Outer dynein arm-docking complex subunit 3	595	Homo sapiens	9606	Ciliary dyskinesia, primary, 30	DI-04247	CILD30		https://rest.uniprot.org/uniprotkb/A5D8V7
A6H8Y1	BDP1	Transcription factor TFIIIB component B'' homolog	2624	Homo sapiens	9606	Deafness, autosomal recessive, 112	DI-05438	DFNB112		https://rest.uniprot.org/uniprotkb/A6H8Y1
A6NCS4	NKX2-6	Homeobox protein Nkx-2.6	301	Homo sapiens	9606	Conotruncal heart malformations	DI-01424	CTHM		https://rest.uniprot.org/uniprotkb/A6NCS4
A6NFY7	SDHAF1	Succinate dehydrogenase assembly factor 1, mitochondrial	115	Homo sapiens	9606	Mitochondrial complex II deficiency, nuclear type 2	DI-06014	MC2DN2		https://rest.uniprot.org/uniprotkb/A6NFY7
A6NGG8	PCARE	Photoreceptor cilium actin regulator	1288	Homo sapiens	9606	Retinitis pigmentosa 54	DI-02708	RP54		https://rest.uniprot.org/uniprotkb/A6NGG8
A6NGG8	PCARE	Photoreceptor cilium actin regulator	1288	Homo sapiens	9606	Cone-rod dystrophy 23	DI-06596	CORD23		https://rest.uniprot.org/uniprotkb/A6NGG8
A6NI61	MYMK	Protein myomaker	221	Homo sapiens	9606	Carey-Fineman-Ziter syndrome 1	DI-05049	CFZS1		https://rest.uniprot.org/uniprotkb/A6NI61
A6NNB3	IFITM5	Interferon-induced transmembrane protein 5	132	Homo sapiens	9606	Osteogenesis imperfecta 5	DI-03563	OI5		https://rest.uniprot.org/uniprotkb/A6NNB3
A7XYQ1	SOBP	Sine oculis-binding protein homolog	873	Homo sapiens	9606	Impaired intellectual development, anterior maxillary protrusion, and strabismus	DI-02951	MRAMS		https://rest.uniprot.org/uniprotkb/A7XYQ1
B1AK53	ESPN	Espin	854	Homo sapiens	9606	Deafness, autosomal recessive, 36, with or without vestibular involvement	DI-00873	DFNB36		https://rest.uniprot.org/uniprotkb/B1AK53
B1AK53	ESPN	Espin	854	Homo sapiens	9606	Usher syndrome 1M	DI-05680	USH1M		https://rest.uniprot.org/uniprotkb/B1AK53
B7U540	KCNJ18	Inward rectifier potassium channel 18	433	Homo sapiens	9606	Thyrotoxic periodic paralysis 2	DI-02615	TTPP2		https://rest.uniprot.org/uniprotkb/B7U540
O00115	DNASE2	Deoxyribonuclease-2-alpha	360	Homo sapiens	9606	Autoinflammatory-pancytopenia syndrome	DI-06407	AIPCS		https://rest.uniprot.org/uniprotkb/O00115
O00116	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	658	Homo sapiens	9606	Rhizomelic chondrodysplasia punctata 3	DI-01003	RCDP3		https://rest.uniprot.org/uniprotkb/O00116
